frequency,track_name
20510,No Diggity
20479,Fast Car
20415,All of Me
20376,Hey Ya! - Radio Mix / Club Mix
20327,Stay With Me
20309,You
20305,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
20103,Party In The U.S.A.
20025,Brown Eyed Girl
19959,Angel
19956,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version
19932,What Do You Mean?
19889,Something Just Like This
19881,Controlla
19735,Drowning (feat. Kodak Black)
19728,Halo
19725,X (feat. Future)
19677,m.A.A.d city
19664,Again
19575,Middle
19565,Jungle
19416,Paradise
19349,Sorry Not Sorry
19320,Money Longer
19314,Hold On
19305,Heathens
19261,Come Get Her
19237,It Ain't Me (with Selena Gomez)
19202,Summer
19151,No Type
19150,Silent Night
19134,Lose Yourself - Soundtrack Version
19048,Sugar
19039,Sweet Child O' Mine
18994,Ophelia
18991,Take Me To Church
18868,Faded
18836,Ain't No Mountain High Enough
18789,pick up the phone
18776,Wagon Wheel
18760,Wake Up
18670,Wet Dreamz
18597,You Was Right
18569,Work from Home
18561,Hotel California - Remastered
18528,Wild Thoughts
18528,Bang Bang
18466,Where Are Ü Now (with Justin Bieber)
18447,Slow Motion
18416,Runaway
18403,Believe
18392,Lay Me Down
18372,Gravity
18327,"i hate u, i love u (feat. olivia o'brien)"
18250,7 Years
18153,Stolen Dance
18143,Chasing Cars
18017,Thinkin Bout You
17957,Pop Style
17922,Santeria
17886,Magnolia
17873,White Christmas
17847,All My Friends
17830,Butterfly Effect
17725,Sweater Weather
17668,Thunder
17651,Exchange
17636,Kids
17597,Numb
17567,Only
17510,Ho Hey
17478,Hero
17467,All Time Low
17463,Cheerleader - Felix Jaehn Remix Radio Edit
17344,Demons
17321,Buy U a Drank (Shawty Snappin')
17312,She Will Be Loved - Radio Mix
17295,Come On Eileen
17279,You & Me
17240,Alone
17221,Go Flex
17178,oui
17162,IV. sweatpants
17158,Back To Back
17125,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars"
17079,Issues
17073,'Till I Collapse
17053,Stitches
17047,LOVE. FEAT. ZACARI.
17030,In the Name of Love
17015,Energy
16933,In Da Club
16896,Can't Hold Us - feat. Ray Dalton
16882,Wonderwall - Remastered
16879,I Miss You
16870,Earned It (Fifty Shades Of Grey)
16869,Portland
16790,Often
16722,Hips Don't Lie
16711,Counting Stars
16692,Midnight City
16680,Crazy In Love
16627,Get Low - Street
16592,Pumped Up Kicks
16576,Latch
16576,Feels
16575,Bodak Yellow
16572,24K Magic
16520,What They Want
16514,Pompeii
16493,XO
16490,Drops of Jupiter
16389,Little Talks
16389,Billie Jean
16369,Promiscuous
16366,All The Small Things
16349,How Deep Is Your Love
16346,Piano Man
16320,Swimming Pools (Drank)
16303,Cake By The Ocean
16282,Rolex
16257,One Night
16252,Starving
16234,Feel It Still
16220,Rich Girl
16206,Creep
16192,Electric Love
16188,Hey There Delilah
16184,Replay
16154,I Want You Back
16154,Hollaback Girl
16043,Seven Nation Army
16028,"Flex (Ooh, Ooh, Ooh)"
15969,Love Me
15963,Die A Happy Man
15944,Landslide
15892,Planez
15851,Higher
15851,Can't Help Falling in Love
15818,Bitch Better Have My Money
15758,G.O.M.D.
15745,"Hold On, We're Going Home"
15742,Kiss Me
15696,House Party
15692,Africa
15688,2 Phones
15675,All Star
15673,Promise
15673,HeadBand (feat. 2 Chainz)
15645,Do I Wanna Know?
15603,How to Save a Life
15586,Bonfire
15586,Attention
15581,Father Stretch My Hands Pt. 1
15528,Weak
15509,Smells Like Teen Spirit
15502,Have Yourself A Merry Little Christmas
15487,Wake Me Up - Radio Edit
15468,"Sugar, We're Goin Down"
15463,Water
15444,My Way
15428,Jessie's Girl
15422,All Night (feat. Knox Fortune)
15393,This Could Be Us
15368,Low (feat T-Pain) - Feat T-Pain Album Version
15362,Under The Bridge
15337,Light It Up (feat. Nyla & Fuse ODG) - Remix
15291,I Won't Give Up
15281,Someday
15228,Fancy
15187,Electric Feel
15149,Royals
15146,No Scrubs
15138,PILLOWTALK
15136,Ghost
15135,Livin' On A Prayer
15120,Your Love
15113,The Scientist
15090,I Feel It Coming
15081,Smile
15076,POWER
15070,Good Life
15046,Secrets
15039,Breezeblocks
15006,Sweet Caroline
14990,Budapest
14956,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
14954,Rather Be (feat. Jess Glynne)
14943,Side To Side
14917,Really Really
14898,Wasted
14895,Say Something
14877,Gone
14849,Chicken Fried
14832,Strip That Down
14815,GDFR (feat. Sage The Gemini & Lookas)
14815,F*ck Up Some Commas
14797,7/11
14791,The Motto
14728,Better Together
14725,Sail
14684,Have You Ever Seen The Rain?
14678,Heartbeat
14672,Look At Me Now
14670,SexyBack
14655,Pony
14630,0 To 100 / The Catch Up
14627,I Write Sins Not Tragedies
14608,You Make My Dreams - Remastered
14577,"See You Again (feat. Charlie Puth) - From ""Furious 7"""
14553,6 Foot 7 Foot
14550,Kiss Me Thru The Phone
14495,Island In The Sun
14475,Sunday Candy
14431,Beautiful Girls
14430,Fergalicious
14411,Ms. Jackson
14387,Losin Control
14377,Best I Ever Had
14374,Safe And Sound
14358,The Middle
14347,"Bitch, Don’t Kill My Vibe"
14305,Never Forget You
14297,Animal
14291,Sleigh Ride
14253,Slow Hands
14247,Californication
14230,Jordan Belfort
14222,Your Song
14218,Love On The Brain
14211,All Night
14189,Take On Me
14170,TiK ToK
14169,Fortunate Son
14162,Tongue Tied
14158,Just the Way You Are
14133,Without You
14128,Unsteady
14120,Iris
14111,Pursuit Of Happiness (nightmare)
14093,Heartless
14055,Moves
14026,We Found Love
14014,Toxic
14004,For Free
13983,Under Pressure - Remastered 2011
13982,Wish You Were Here
13971,No Heart
13915,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
13915,Hypnotize - 2014 Remastered Version
13904,Come and See Me (feat. Drake)
13859,Chandelier
13853,I Mean It
13853,Drop It Like It's Hot
13826,She Knows
13794,A Thousand Years
13782,Day 'N' Nite (nightmare)
13779,Breathe
13726,Partition
13693,Fly
13689,You Know You Like It
13668,Best Friend
13667,Uber Everywhere
13665,Dream On
13629,It's A Vibe
13594,What You Know
13577,Here
13569,Now Or Never
13554,Animals
13534,Show Me
13530,Crank That (Soulja Boy)
13521,Treat You Better
13517,Both (feat. Drake)
13490,Heaven
13478,Don't Tell 'Em
13469,Umbrella
13466,Apologize
13465,Someone Like You
13452,Titanium (feat. Sia) - feat. Sia
13452,Sunday Morning
13445,River
13438,Silence
13423,Stole the Show
13408,Clique
13403,I Wanna Dance with Somebody (Who Loves Me)
13399,Paper Planes
13384,Viva La Vida
13383,The Next Episode
13382,Stacy's Mom
13353,Fantasy
13349,King Kunta
13336,Daylight
13303,More Than a Feeling
13287,LOYALTY. FEAT. RIHANNA.
13262,Juke Jam (feat. Justin Bieber & Towkio)
13260,Renegades
13247,Where Ya At
13246,Maps
13226,Carry on Wayward Son
13220,Another One Bites The Dust - Remastered 2011
13188,Runaway (U & I)
13181,Hot In Herre
13178,I Fall Apart
13146,Tiny Dancer
13145,Capsize
13142,Rake It Up
13136,Work Out
13132,Summer Of '69
13098,Inside Out
13096,do re mi
13070,Welcome To The Jungle
13059,Centuries
13053,Truffle Butter
13042,Winter Wonderland
13038,I'm Not The Only One
13010,Timber
13005,Burn
12980,Drunk in Love
12971,Turn Down for What
12932,Big Rings
12903,Fire
12899,We Can't Stop
12898,Ride Wit Me
12895,My Way (feat. Monty)
12882,"Hey, Soul Sister"
12878,Man Of The Year
12855,Dark Horse
12827,Fix You
12826,Legend
12826,Gives You Hell
12819,Fight Night
12809,Hands To Myself
12798,The Greatest
12787,Summertime
12783,I Want It That Way
12766,Sex
12708,A Milli
12705,Bad Things (with Camila Cabello)
12699,Super Bass
12690,Magic
12641,OOOUUU
12636,Work REMIX
12624,Fireflies
12618,Walking On A Dream
12613,Lollipop
12611,Yellow
12545,American Pie
12543,You & Me - Flume Remix
12542,Cruise
12541,Mess Is Mine
12536,House Of The Rising Sun
12533,Backseat Freestyle
12522,What I Got
12517,Human
12500,California
12485,Feeling Myself
12466,Want to Want Me
12465,Semi-Charmed Life
12444,Rocket Man (I Think It's Going To Be A Long Long Time)
12428,Don't Mind
12427,Look At Me!
12427,Eye of the Tiger
12423,Malibu
12421,Play It Again
12406,FourFiveSeconds
12403,Rap God
12401,When I Was Your Man
12397,Up All Night
12383,Power Trip
12381,I Know
12376,Same Drugs
12372,Gooey
12357,Candy Shop
12355,Wicked Games
12351,H.O.L.Y.
12338,Float On
